rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,prolific_id,success,timeout,failed_images,failed_audio,failed_video,stimulus,trial_category,question_order,slider_start,stimulus_name
3951,35,html-slider-response,10,154964,0.0-10.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_hospital_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_hospital_grass_wandering.png
6396,31,html-slider-response,11,161361,0.0-11.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_coffee_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_coffee_grass_shortest.png
3598,100,html-slider-response,12,164960,0.0-12.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_coffee_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_sidewalk_shortest.png
5046,100,html-slider-response,13,170008,0.0-13.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_coffee_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_coffee_sidewalk_shortest.png
4085,21,html-slider-response,14,174095,0.0-14.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_bus_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_bus_grass_shortest.png
4446,43,html-slider-response,15,178543,0.0-15.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_hospital_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_hospital_grass_wandering.png
5654,100,html-slider-response,16,184198,0.0-16.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_hospital_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_hospital_sidewalk_shortest.png
3185,35,html-slider-response,17,187385,0.0-17.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_coffee_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_coffee_grass_wandering.png
2834,28,html-slider-response,18,190220,0.0-18.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_hospital_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_hospital_grass_shortest.png
3891,27,html-slider-response,19,194112,0.0-19.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_bus_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_bus_grass_wandering.png
2473,22,html-slider-response,20,196587,0.0-20.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_coffee_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_grass_wandering.png
2766,12,html-slider-response,21,199354,0.0-21.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_coffee_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_coffee_grass_shortest.png
2466,24,html-slider-response,22,201822,0.0-22.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_coffee_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_coffee_grass_wandering.png
2878,15,html-slider-response,23,204702,0.0-23.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_coffee_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_grass_shortest.png
6193,100,html-slider-response,24,210897,0.0-24.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_bus_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_bus_sidewalk_shortest.png
45852,35,html-slider-response,25,256751,0.0-25.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_bus_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_bus_grass_wandering.png
10055,19,html-slider-response,26,266808,0.0-26.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_hospital_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_hospital_grass_shortest.png
11422,100,html-slider-response,27,278231,0.0-27.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_coffee_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_coffee_sidewalk_shortest.png
5601,98,html-slider-response,28,283834,0.0-28.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_bus_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_bus_sidewalk_shortest.png
3620,100,html-slider-response,29,287455,0.0-29.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_bus_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_bus_sidewalk_shortest.png
2744,35,html-slider-response,30,290200,0.0-30.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_hospital_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_hospital_grass_shortest.png
2953,100,html-slider-response,31,293155,0.0-31.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_hospital_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_hospital_sidewalk_shortest.png
2819,16,html-slider-response,32,295976,0.0-32.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map3_bus_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map3_bus_grass_shortest.png
3163,14,html-slider-response,33,299140,0.0-33.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_bus_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_bus_grass_shortest.png
167778,"[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""No.""},{""name"":""age"",""value"":""29""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""No comment.""}]",survey-html-form,34,466919,0.0-34.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,,debrief,,,
14431,"{""Q0"":""nugbygg0z""}",survey-text,35,481355,0.0-35.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,,,,,
13272,"{""prolific_id"":""66986f8f7c869332de7e6067""}",survey-text,0,13279,0.0-0.0,11,1,2024-07-22 20:30:13,c42334ae11bd6e373fa9fec6f52302a2,35.148.24.130,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,ChromeOS,14541.0.0,https://app.prolific.com/,"en-US,en;q=0.9",ost7jmkj7,66986f8f7c869332de7e6067,,,,,,,,,,
,,preload,1,13850,0.0-1.0,11,1,2024-07-22 20:30:13,c42334ae11bd6e373fa9fec6f52302a2,35.148.24.130,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,ChromeOS,14541.0.0,https://app.prolific.com/,"en-US,en;q=0.9",ost7jmkj7,66986f8f7c869332de7e6067,true,false,[],[],[],,,,,
2762, ,html-keyboard-response,2,16614,0.0-2.0,11,1,2024-07-22 20:30:13,c42334ae11bd6e373fa9fec6f52302a2,35.148.24.130,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,ChromeOS,14541.0.0,https://app.prolific.com/,"en-US,en;q=0.9",ost7jmkj7,66986f8f7c869332de7e6067,,,,,,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>",,,,
2071,y,html-keyboard-response,3,18687,0.0-3.0,11,1,2024-07-22 20:30:13,c42334ae11bd6e373fa9fec6f52302a2,35.148.24.130,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,ChromeOS,14541.0.0,https://app.prolific.com/,"en-US,en;q=0.9",ost7jmkj7,66986f8f7c869332de7e6067,,,,,,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this study, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this study, you must read all the questions fully and answer honestly. You may only complete this study once. If you complete this study multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This study is part of a MIT scientific research project. Your decision to complete this study is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this study voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",,,,
24466,"{""instructions1"":""a park and surrounding areas in a medium-sized town""}",survey-text,4,43174,0.0-4.0,11,1,2024-07-22 20:30:13,c42334ae11bd6e373fa9fec6f52302a2,35.148.24.130,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,ChromeOS,14541.0.0,https://app.prolific.com/,"en-US,en;q=0.9",ost7jmkj7,66986f8f7c869332de7e6067,,,,,,,instructions,,,
2441,"{""instructions2"":""yes""}",survey-text,5,45628,0.0-5.0,11,1,2024-07-22 20:30:13,c42334ae11bd6e373fa9fec6f52302a2,35.148.24.130,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,ChromeOS,14541.0.0,https://app.prolific.com/,"en-US,en;q=0.9",ost7jmkj7,66986f8f7c869332de7e6067,,,,,,,instructions,,,
